Carrier,station,OTP_15,OTP_WX&CTA,BTP_0,BTP_5,ATD_0,ATD_5,GTP_0,GTP_5,PAX
N3,CUN,87.5,87.5,25.0,25.0,100.0,100.0,75.0,87.5,87.04
N3,MEX,83.33,83.33,100.0,100.0,66.67,66.67,100.0,100.0,84.14
N3,SAL,80.43,80.43,76.09,86.96,50.0,54.35,38.64,52.27,79.6
N3,SAP,100.0,100.0,25.0,75.0,100.0,100.0,,,100.0
Q6,GUA,95.56,95.56,84.44,93.33,57.78,68.89,60.0,76.67,94.85
Q6,LAX,71.43,92.86,28.57,64.29,50.0,57.14,7.14,28.57,73.36
Q6,MEX,89.47,89.47,78.95,89.47,68.42,78.95,27.78,38.89,88.13
Q6,SAL,64.29,71.43,78.57,92.86,50.0,57.14,66.67,75.0,70.36
Q6,SJO,75.41,77.05,75.41,95.08,55.74,60.66,38.98,52.54,75.28
Y4,BJX,67.74,81.94,60.65,85.16,45.16,52.9,42.03,63.04,63.89
Y4,CUN,81.03,88.51,64.56,78.93,63.41,69.92,49.65,68.24,80.78
Y4,GDL,72.48,82.25,60.36,80.13,50.21,57.88,34.58,57.85,71.49
Y4,MEX,80.32,89.79,77.83,86.92,57.16,63.89,24.26,41.85,80.51
Y4,MTY,81.08,88.65,73.22,83.06,58.92,65.95,25.9,44.58,79.15
Y4,TIJ,62.14,80.57,55.69,73.92,41.06,49.89,31.65,54.87,61.81
N3,system,83.0,83.0,67.0,84.0,64.0,67.0,43.02,55.81,81.63
Q6,system,80.66,83.43,65.75,87.29,56.91,66.3,40.13,53.95,81.25
Y4,system,74.51,85.77,65.74,81.57,53.69,61.69,35.71,54.31,73.94
N3,system,83.0,83.0,67.0,84.0,64.0,67.0,43.02,55.81,81.63
Q6,system,80.66,83.43,65.75,87.29,56.91,66.3,40.13,53.95,81.25
Y4,system,74.51,85.77,65.74,81.57,53.69,61.69,35.71,54.31,73.94
ALL,general,74.82,85.66,65.76,81.77,53.95,61.91,35.95,54.32,74.23
